Word,Start Timecode,End Timecode,Speaker
be,00:01:17:16,00:01:17:27,Speaker3
answered,00:01:17:27,00:01:17:55,Speaker3
in,00:01:17:55,00:01:18:06,Speaker3
"time,",00:01:18:06,00:01:18:35,Speaker3
Captain,00:01:18:35,00:01:19:06,Speaker3
Kirk.,00:01:19:06,00:01:19:42,Speaker3
Are,00:01:23:33,00:01:23:42,Speaker1
your,00:01:23:42,00:01:23:51,Speaker1
hailing,00:01:23:51,00:01:24:05,Speaker1
frequencies,00:01:24:05,00:01:24:32,Speaker1
open?,00:01:24:32,00:01:24:57,Speaker1
"No,",00:01:26:12,00:01:26:25,Speaker3
"sir,",00:01:26:25,00:01:26:37,Speaker3
I,00:01:26:39,00:01:27:06,Speaker3
am,00:01:27:06,00:01:27:31,Speaker3
Sargon.,00:01:27:31,00:01:28:25,Speaker3
It,00:01:28:40,00:01:28:58,Speaker3
is,00:01:28:58,00:01:29:09,Speaker3
the,00:01:29:09,00:01:29:18,Speaker3
energy,00:01:29:18,00:01:29:45,Speaker3
of,00:01:29:45,00:01:29:52,Speaker3
my,00:01:29:52,00:01:30:04,Speaker3
thoughts,00:01:30:04,00:01:30:28,Speaker3
which,00:01:30:28,00:01:30:44,Speaker3
has,00:01:30:44,00:01:30:53,Speaker3
touched,00:01:30:53,00:01:31:13,Speaker3
your,00:01:31:13,00:01:31:29,Speaker3
instruments,00:01:31:29,00:01:32:03,Speaker3
and,00:01:32:03,00:01:32:12,Speaker3
directed,00:01:32:12,00:01:32:43,Speaker3
you,00:01:32:43,00:01:32:54,Speaker3
here.,00:01:32:55,00:01:33:31,Speaker3
"Now,",00:01:33:57,00:01:34:22,Speaker3
with,00:01:34:22,00:01:34:33,Speaker3
this,00:01:34:33,00:01:34:49,Speaker3
closer,00:01:34:49,00:01:35:16,Speaker3
"distance,",00:01:35:16,00:01:35:50,Speaker3
I,00:01:35:50,00:01:36:01,Speaker3
can,00:01:36:01,00:01:36:15,Speaker3
speak,00:01:36:15,00:01:36:35,Speaker3
to,00:01:36:35,00:01:36:42,Speaker3
you,00:01:36:42,00:01:37:06,Speaker3
at,00:01:37:06,00:01:37:15,Speaker3
last.,00:01:37:15,00:01:37:56,Speaker3
Who,00:01:37:58,00:01:38:09,Speaker1
are,00:01:38:09,00:01:38:18,Speaker1
you?,00:01:38:18,00:01:38:28,Speaker1
Sagar.,00:01:38:30,00:01:38:54,Speaker1
Please,00:01:39:35,00:01:40:02,Speaker3
assume,00:01:40:02,00:01:40:34,Speaker3
a,00:01:40:34,00:01:40:38,Speaker3
standard,00:01:40:38,00:01:41:16,Speaker3
orbit,00:01:41:16,00:01:41:36,Speaker3
about,00:01:41:36,00:01:41:55,Speaker3
our,00:01:41:55,00:01:42:06,Speaker3
planet.,00:01:42:06,00:01:42:28,Speaker3
Captain.,00:01:42:28,00:01:43:07,Speaker1
Is,00:01:43:15,00:01:43:27,Speaker1
that,00:01:43:27,00:01:43:36,Speaker1
a,00:01:43:36,00:01:43:42,Speaker1
request,00:01:43:42,00:01:44:14,Speaker1
or,00:01:44:14,00:01:44:23,Speaker1
demand?,00:01:44:23,00:01:44:57,Speaker1
The,00:01:45:22,00:01:45:31,Speaker3
choice,00:01:45:31,00:01:46:06,Speaker3
is,00:01:46:06,00:01:46:20,Speaker3
yours.,00:01:46:20,00:01:47:03,Speaker3
I,00:01:47:03,00:01:47:21,Speaker3
read,00:01:47:21,00:01:47:37,Speaker3
what,00:01:47:37,00:01:47:50,Speaker3
is,00:01:47:50,00:01:47:59,Speaker3
in,00:01:47:59,00:01:48:10,Speaker3
your,00:01:48:10,00:01:48:22,Speaker3
mind.,00:01:48:22,00:01:48:58,Speaker3
Words,00:01:49:06,00:01:49:51,Speaker3
are,00:01:49:51,00:01:50:05,Speaker3
unnecessary.,00:01:50:05,00:01:51:08,Speaker3
The,00:01:52:04,00:01:52:13,Speaker1
planet,00:01:52:13,00:01:52:43,Speaker1
is,00:01:53:16,00:01:53:25,Speaker1
dead.,00:01:53:25,00:01:53:36,Speaker1
There's,00:01:53:37,00:01:53:46,Speaker1
no,00:01:53:46,00:01:53:55,Speaker1
possibility,00:01:53:55,00:01:54:30,Speaker1
of,00:01:54:30,00:01:54:35,Speaker1
life,00:01:54:35,00:01:54:51,Speaker1
there,00:01:54:51,00:01:55:15,Speaker1
as,00:01:55:15,00:01:55:36,Speaker1
we,00:01:55:36,00:01:55:43,Speaker1
understand,00:01:55:43,00:01:56:10,Speaker1
life.,00:01:56:10,00:01:56:30,Speaker1
I,00:01:57:33,00:01:57:49,Speaker3
am,00:01:57:49,00:01:58:02,Speaker3
as,00:01:58:02,00:01:58:15,Speaker3
dead.,00:01:58:15,00:01:59:00,Speaker3
As,00:01:59:16,00:01:59:37,""
my,00:01:59:37,00:01:59:55,""
planet.,00:01:59:55,00:02:00:35,""
Does,00:02:03:08,00:02:03:26,Speaker3
that,00:02:03:26,00:02:03:44,Speaker3
frighten,00:02:03:44,00:02:04:07,Speaker3
"you,",00:02:04:07,00:02:04:22,Speaker3
James,00:02:04:22,00:02:04:49,Speaker3
Kirk?,00:02:04:49,00:02:05:27,Speaker3
Or,00:02:05:43,00:02:05:59,Speaker3
if,00:02:05:59,00:02:06:08,Speaker3
it,00:02:06:08,00:02:06:15,Speaker3
"does,",00:02:06:15,00:02:07:07,Speaker3
if,00:02:07:16,00:02:07:49,Speaker3
you,00:02:07:49,00:02:08:03,Speaker3
let,00:02:08:03,00:02:08:27,Speaker3
what,00:02:08:27,00:02:08:43,Speaker3
is,00:02:08:43,00:02:08:52,Speaker3
left,00:02:08:52,00:02:09:19,Speaker3
of,00:02:09:19,00:02:09:30,Speaker3
me,00:02:09:30,00:02:09:53,Speaker3
"perish,",00:02:09:53,00:02:10:38,Speaker3
then,00:02:10:43,00:02:11:19,Speaker3
all,00:02:11:19,00:02:11:45,Speaker3
of,00:02:11:45,00:02:11:54,Speaker3
"you,",00:02:11:54,00:02:12:15,Speaker3
my,00:02:12:15,00:02:12:33,Speaker3
"children,",00:02:12:33,00:02:13:25,Speaker3
all,00:02:13:34,00:02:14:14,Speaker3
of,00:02:14:14,00:02:14:27,Speaker3
mankind,00:02:14:27,00:02:15:48,Speaker3
must,00:02:15:48,00:02:16:25,Speaker3
perish,00:02:16:25,00:02:17:07,Speaker3
too.,00:02:17:07,00:02:17:48,Speaker3
Space.,00:02:32:13,00:02:33:32,Speaker1
The,00:02:33:39,00:02:33:50,Speaker1
final,00:02:33:50,00:02:34:13,Speaker1
frontier.,00:02:34:13,00:02:35:02,Speaker1
These,00:02:41:12,00:02:41:49,""
are,00:02:41:49,00:02:41:57,""
the.,00:02:41:57,00:02:42:02,""
Voyages,00:02:42:02,00:02:42:33,Speaker1
of,00:02:42:33,00:02:42:42,Speaker1
the,00:02:42:42,00:02:42:47,Speaker1
Starship.,00:02:42:47,00:02:43:37,Speaker1
Enterprise.,00:02:43:37,00:02:44:49,""
Its,00:02:45:33,00:02:46:01,""
five,00:02:46:01,00:02:46:18,""
year,00:02:46:18,00:02:46:28,""
mission,00:02:46:28,00:02:47:04,""
to,00:02:47:04,00:02:47:30,""
explore,00:02:47:30,00:02:48:09,""
strange,00:02:48:09,00:02:48:38,""
new,00:02:48:38,00:02:48:43,""
worlds.,00:02:48:43,00:02:48:52,""
To,00:02:49:59,00:02:50:08,""
seek,00:02:50:08,00:02:50:22,""
out,00:02:50:22,00:02:50:33,""
new,00:02:50:33,00:02:50:48,""
life.,00:02:50:48,00:02:51:18,""
And,00:02:51:18,00:02:51:29,Speaker1
new,00:02:51:29,00:02:51:42,Speaker1
civilizations.,00:02:51:42,00:02:52:59,Speaker1
To,00:02:53:53,00:02:54:07,Speaker1
boldly,00:02:54:07,00:02:54:34,Speaker1
go,00:02:54:34,00:02:54:54,Speaker1
where,00:02:54:54,00:02:55:07,Speaker1
no,00:02:55:07,00:02:55:23,Speaker1
man,00:02:55:23,00:02:55:41,Speaker1
has,00:02:55:41,00:02:55:54,Speaker1
gone,00:02:55:54,00:02:56:06,Speaker1
before.,00:02:56:06,00:02:56:53,Speaker1
Oh.,00:03:03:35,00:03:04:51,""
Oh,00:03:17:46,00:03:18:30,""
oh.,00:03:19:15,00:03:20:55,""
Captain's,00:03:38:13,00:03:38:40,Speaker1
"log,",00:03:38:40,00:03:38:58,Speaker1
stardate,00:03:38:58,00:03:39:24,Speaker1
4760,00:03:39:24,00:03:40:23,Speaker1
8.3.,00:03:40:23,00:03:41:19,Speaker1
The,00:03:41:26,00:03:41:51,Speaker1
enterprise,00:03:41:51,00:03:42:33,Speaker1
is,00:03:42:33,00:03:42:47,Speaker1
in,00:03:42:47,00:03:42:56,Speaker1
orbit,00:03:42:56,00:03:43:14,Speaker1
above,00:03:43:14,00:03:43:32,Speaker1
a,00:03:43:32,00:03:43:37,Speaker1
planet,00:03:43:37,00:03:44:01,Speaker1
whose,00:03:44:01,00:03:44:17,Speaker1
surface,00:03:44:17,00:03:44:42,Speaker1
our,00:03:44:42,00:03:44:51,Speaker1
sensors,00:03:44:51,00:03:45:16,Speaker1
tell,00:03:45:16,00:03:45:29,Speaker1
"us,",00:03:45:29,00:03:45:43,Speaker1
is,00:03:45:43,00:03:46:00,Speaker1
devoid,00:03:46:00,00:03:46:30,Speaker1
of,00:03:46:30,00:03:46:37,Speaker1
all,00:03:46:37,00:03:46:52,Speaker1
life.,00:03:46:52,00:03:47:28,Speaker1
A,00:03:47:48,00:03:48:04,Speaker1
world,00:03:48:04,00:03:48:25,Speaker1
destroyed,00:03:48:25,00:03:49:07,Speaker1
and,00:03:49:07,00:03:49:19,Speaker1
dead,00:03:49:19,00:03:49:43,Speaker1
for,00:03:49:43,00:03:49:54,Speaker1
at,00:03:49:54,00:03:49:59,Speaker1
least,00:03:49:59,00:03:50:13,Speaker1
a,00:03:50:13,00:03:50:19,Speaker1
half,00:03:50:19,00:03:50:31,Speaker1
a,00:03:50:31,00:03:50:43,Speaker1
million,00:03:50:43,00:03:50:55,Speaker1
years.,00:03:50:55,00:03:51:40,Speaker1
Yet,00:03:51:47,00:03:52:21,Speaker1
from,00:03:52:21,00:03:52:39,Speaker1
it,00:03:52:39,00:03:52:48,Speaker1
comes,00:03:52:48,00:03:53:10,Speaker1
a,00:03:53:10,00:03:53:17,Speaker1
"voice,",00:03:53:17,00:03:54:13,Speaker1
the,00:03:54:13,00:03:54:38,Speaker1
energy,00:03:54:38,00:03:55:03,Speaker1
of,00:03:55:03,00:03:55:14,Speaker1
pure,00:03:55:14,00:03:55:37,Speaker1
thought,00:03:55:37,00:03:56:04,Speaker1
telling,00:03:56:04,00:03:56:28,Speaker1
us,00:03:56:28,00:03:56:46,Speaker1
something,00:03:56:46,00:03:57:25,Speaker1
has,00:03:57:25,00:03:57:36,Speaker1
survived,00:03:57:36,00:03:58:05,Speaker1
here,00:03:58:05,00:03:58:23,Speaker1
for,00:03:58:23,00:03:58:32,Speaker1
those,00:03:58:32,00:03:58:46,Speaker1
thousands,00:03:58:46,00:03:59:15,Speaker1
of,00:03:59:15,00:03:59:22,Speaker1
centuries,00:03:59:22,00:04:00:13,Speaker1
since,00:04:00:27,00:04:01:01,Speaker1
exploration,00:04:01:01,00:04:01:59,Speaker1
and,00:04:01:59,00:04:02:22,Speaker1
contact,00:04:02:22,00:04:02:55,Speaker1
with,00:04:02:55,00:04:03:07,Speaker1
alien,00:04:03:07,00:04:03:27,Speaker1
intelligence,00:04:03:27,00:04:04:05,Speaker1
is,00:04:04:05,00:04:04:14,Speaker1
our,00:04:04:14,00:04:04:23,Speaker1
primary,00:04:04:23,00:04:04:50,Speaker1
"mission,",00:04:04:50,00:04:05:08,Speaker1
I've,00:04:05:08,00:04:05:19,Speaker1
decided,00:04:05:19,00:04:05:40,Speaker1
to,00:04:05:40,00:04:05:57,Speaker1
risk,00:04:05:57,00:04:06:18,Speaker1
the,00:04:06:18,00:04:06:40,Speaker1
potential,00:04:06:40,00:04:07:10,Speaker1
dangers,00:04:07:10,00:04:07:46,Speaker1
and,00:04:08:24,00:04:08:51,Speaker1
resume,00:04:08:51,00:04:09:15,Speaker1
contact,00:04:09:15,00:04:09:56,Speaker1
log,00:04:10:12,00:04:10:43,Speaker1
entry,00:04:10:43,00:04:11:03,Speaker1
out.,00:04:11:03,00:04:11:28,Speaker1
How,00:04:12:00,00:04:12:15,Speaker1
long,00:04:12:15,00:04:12:27,Speaker1
before,00:04:12:27,00:04:12:47,Speaker1
Starfleet,00:04:12:47,00:04:13:12,Speaker1
receives,00:04:13:12,00:04:13:34,Speaker1
that?,00:04:13:34,00:04:14:01,Speaker1
Over,00:04:14:58,00:04:15:22,Speaker2
three,00:04:15:22,00:04:15:36,Speaker2
weeks.,00:04:15:36,00:04:15:52,Speaker2
At,00:04:15:52,00:04:16:00,Speaker2
this,00:04:16:00,00:04:16:10,Speaker2
"distance,",00:04:16:10,00:04:16:37,Speaker2
sir.,00:04:16:37,00:04:17:04,Speaker2
Captain.,00:04:17:22,00:04:18:00,""
She.,00:04:18:52,00:04:19:16,""
Got,00:04:21:07,00:04:21:16,""
something.,00:04:21:16,00:04:21:45,""
Sensor,00:04:22:10,00:04:22:34,Speaker3
is,00:04:22:34,00:04:22:41,Speaker3
registering,00:04:22:41,00:04:23:15,Speaker3
some,00:04:23:15,00:04:23:33,Speaker3
form,00:04:23:33,00:04:23:53,Speaker3
of,00:04:23:53,00:04:24:00,Speaker3
energy,00:04:24:00,00:04:24:33,Speaker3
deep,00:04:24:33,00:04:24:56,Speaker3
inside,00:04:24:56,00:04:25:30,Speaker3
the,00:04:25:30,00:04:25:37,Speaker3
planet.,00:04:25:37,00:04:26:08,Speaker3
Your,00:04:26:10,00:04:26:31,Speaker3
probes,00:04:26:31,00:04:26:58,Speaker3
have,00:04:26:58,00:04:27:13,Speaker3
touched,00:04:27:15,00:04:27:36,Speaker3
"me,",00:04:27:36,00:04:27:54,Speaker3
Mr.,00:04:27:54,00:04:28:18,Speaker3
Spock.,00:04:28:18,00:04:28:52,Speaker3
Reading,00:04:30:26,00:04:31:02,Speaker3
energy,00:04:31:02,00:04:31:24,Speaker3
"only,",00:04:31:24,00:04:31:42,Speaker3
captain.,00:04:31:42,00:04:32:12,Speaker3
No,00:04:32:12,00:04:32:41,Speaker3
life,00:04:32:41,00:04:32:57,Speaker3
forms.,00:04:32:57,00:04:33:40,Speaker3
I,00:04:33:46,00:04:34:07,Speaker3
have,00:04:34:07,00:04:34:22,Speaker3
locked,00:04:34:22,00:04:34:42,Speaker3
your,00:04:34:42,00:04:34:54,Speaker3
transporter,00:04:34:54,00:04:35:36,Speaker3
device,00:04:35:36,00:04:35:59,Speaker3
on,00:04:35:59,00:04:36:08,Speaker3
my,00:04:36:08,00:04:36:21,Speaker3
coordinates.,00:04:36:21,00:04:37:22,Speaker3
Please,00:04:37:36,00:04:38:25,Speaker3
come,00:04:38:25,00:04:38:46,Speaker3
to,00:04:38:46,00:04:38:55,Speaker3
us.,00:04:38:55,00:04:39:37,Speaker3
Rescue,00:04:39:37,00:04:40:27,Speaker3
us,00:04:40:27,00:04:40:38,Speaker3
from,00:04:40:38,00:04:40:52,Speaker3
oblivion.,00:04:40:52,00:04:41:39,Speaker3
Coming,00:04:41:48,00:04:42:15,Speaker3
from,00:04:42:15,00:04:42:33,Speaker3
deep,00:04:42:33,00:04:43:11,Speaker3
under,00:04:43:29,00:04:44:07,Speaker3
the,00:04:44:07,00:04:44:14,Speaker3
planet's,00:04:44:14,00:04:44:39,Speaker3
"surface,",00:04:44:39,00:04:45:08,Speaker3
captain.,00:04:45:08,00:04:45:44,Speaker3
Under,00:04:46:16,00:04:46:45,Speaker3
at,00:04:46:45,00:04:46:56,Speaker3
least,00:04:46:56,00:04:47:43,Speaker3
100,00:04:47:59,00:04:49:15,Speaker3
miles,00:04:49:15,00:04:49:45,Speaker3
of,00:04:49:45,00:04:49:56,Speaker3
solid,00:04:49:56,00:04:50:19,Speaker3
"rock,",00:04:50:19,00:04:50:48,Speaker3
we,00:04:50:48,00:04:51:17,Speaker3
will,00:04:51:31,00:04:51:40,Speaker3
make,00:04:51:40,00:04:51:58,Speaker3
it,00:04:51:58,00:04:52:07,Speaker3
possible,00:04:52:07,00:04:52:49,Speaker3
for,00:04:52:49,00:04:52:58,Speaker3
your,00:04:52:58,00:04:53:09,Speaker3
transporter,00:04:53:09,00:04:53:50,Speaker3
to,00:04:53:50,00:04:53:57,Speaker3
beam,00:04:53:57,00:04:54:12,Speaker3
you,00:04:54:12,00:04:54:19,Speaker3
that,00:04:54:19,00:04:54:31,Speaker3
deep,00:04:54:31,00:04:54:42,Speaker3
beneath,00:04:54:42,00:04:55:04,Speaker3
the,00:04:55:04,00:04:55:09,Speaker3
surface.,00:04:55:09,00:04:55:58,Speaker3
Have,00:04:56:10,00:04:56:27,Speaker3
no,00:04:56:27,00:04:56:45,Speaker3
fear.,00:04:56:45,00:04:57:31,Speaker3
Reading,00:04:59:18,00:04:59:46,Speaker3
a,00:04:59:46,00:04:59:52,Speaker3
chamber,00:04:59:52,00:05:00:15,Speaker3
now.,00:05:00:15,00:05:00:51,Speaker3
Oxygen.,00:05:01:38,00:05:02:27,Speaker3
Nitrogen.,00:05:02:27,00:05:03:08,Speaker3
Atmosphere,00:05:03:08,00:05:03:58,Speaker3
suitable,00:05:04:22,00:05:05:14,Speaker3
for,00:05:05:14,00:05:05:28,Speaker3
human,00:05:05:28,00:05:05:50,Speaker3
life,00:05:05:50,00:05:06:06,Speaker3
support.,00:05:06:06,00:05:06:46,Speaker3
I'm,00:05:09:13,00:05:09:26,Speaker1
doctor,00:05:09:26,00:05:09:40,Speaker1
McCoy.,00:05:09:40,00:05:09:55,Speaker1
Report,00:05:09:57,00:05:10:11,Speaker1
to,00:05:10:11,00:05:10:16,Speaker1
the,00:05:10:16,00:05:10:20,Speaker1
transporter,00:05:10:20,00:05:10:56,Speaker1
room,00:05:10:56,00:05:11:27,Speaker1
in,00:05:11:43,00:05:12:01,Speaker1
ten,00:05:12:01,00:05:12:21,Speaker1
minutes,00:05:12:21,00:05:12:42,Speaker1
with,00:05:12:42,00:05:12:58,Speaker1
standard,00:05:12:58,00:05:13:33,Speaker1
landing,00:05:13:33,00:05:14:07,Speaker1
party,00:05:14:07,00:05:14:28,Speaker1
equipment.,00:05:14:28,00:05:15:10,Speaker1
"Yes,",00:05:15:10,00:05:15:26,Speaker1
sir.,00:05:15:26,00:05:15:42,Speaker1
Spock.,00:05:16:11,00:05:16:38,Speaker1
"Captain,",00:05:17:37,00:05:18:06,Speaker3
I,00:05:18:06,00:05:18:37,Speaker3
do,00:05:18:58,00:05:19:18,Speaker3
wish,00:05:19:18,00:05:19:33,Speaker3
to,00:05:19:33,00:05:19:43,Speaker3
inspect,00:05:19:43,00:05:20:12,Speaker3
whatever,00:05:20:12,00:05:20:30,Speaker3
this,00:05:20:30,00:05:20:43,Speaker3
is,00:05:20:43,00:05:21:03,Speaker3
that,00:05:21:03,00:05:21:15,Speaker3
lived,00:05:21:15,00:05:21:31,Speaker3
that,00:05:21:31,00:05:21:44,Speaker3
long,00:05:21:44,00:05:21:57,Speaker3
ago.,00:05:21:57,00:05:22:34,Speaker3
And,00:05:22:36,00:05:22:47,Speaker1
I,00:05:22:47,00:05:22:52,Speaker1
would,00:05:22:52,00:05:23:00,Speaker1
like,00:05:23:00,00:05:23:10,Speaker1
to,00:05:23:10,00:05:23:16,Speaker1
have,00:05:23:16,00:05:23:28,Speaker1
my,00:05:23:28,00:05:23:41,Speaker1
science,00:05:23:41,00:05:24:10,Speaker1
officer,00:05:24:10,00:05:24:33,Speaker1
with,00:05:24:33,00:05:24:44,Speaker1
me,00:05:24:44,00:05:24:51,Speaker1
on,00:05:24:51,00:05:24:58,Speaker1
something,00:05:24:58,00:05:25:22,Speaker1
as,00:05:25:22,00:05:25:38,Speaker1
unusual,00:05:25:38,00:05:26:23,Speaker1
as,00:05:26:23,00:05:26:30,Speaker1
this.,00:05:26:30,00:05:26:54,Speaker1
But,00:05:26:54,00:05:27:12,Speaker1
it,00:05:27:12,00:05:27:19,Speaker1
is,00:05:27:19,00:05:27:26,Speaker1
full,00:05:27:26,00:05:27:35,Speaker1
of,00:05:27:35,00:05:27:40,Speaker1
